   PRESSURE      UP FORCING    DOWN FORCING    NET  FORCING     HEATING RATE FORCING
      mb            W/m2           W/m2            W/m2            degree/day
    0.1000         -5.6438        0.0000        -5.6438250            0.00000
    0.2900         -5.6438        0.0000        -5.6437928            0.00142
    0.6900         -5.6444        0.0102        -5.6545548           -0.22691
    1.4200         -5.6674        0.1269        -5.7942266           -1.61366
    2.6100         -5.6968        0.2989        -5.9956937           -1.42785
    4.4100         -5.7000        0.4817        -6.1816882           -0.87146
    6.9500         -5.6639        0.6850        -6.3488489           -0.55504
   10.3700         -5.5751        0.9138        -6.4889472           -0.34549
   14.8100         -5.4177        1.1712        -6.5889018           -0.18987
   20.4000         -5.1740        1.4552        -6.6291775           -0.06076
   27.2600         -4.8221        1.7628        -6.5849423            0.05439
   35.5100         -4.3410        2.0870        -6.4280159            0.16043
   45.2900         -3.6821        2.4218        -6.1039832            0.27943
   56.7300         -2.7959        2.7455        -5.5413926            0.41475
   69.9700         -1.6588        3.0367        -4.6955237            0.53881
   85.1800         -0.2044        3.2899        -3.4943023            0.66606
  102.1000          0.0000        3.3155        -3.3154871            0.08939
  122.0000          0.0000        3.3087        -3.3086646            0.00288
  143.8000          0.0000        3.3007        -3.3007551            0.00306
  168.0000          0.0000        3.2908        -3.2907891            0.00349
  194.4000          0.0000        3.2771        -3.2771267            0.00436
  222.9000          0.0000        3.2570        -3.2569575            0.00595
  253.7000          0.0000        3.2252        -3.2251432            0.00872
  286.6000          0.0000        3.1749        -3.1749089            0.01288
  321.5000          0.0000        3.0955        -3.0954370            0.01921
  358.3000          0.0000        2.9775        -2.9775178            0.02703
  396.8000          0.0000        2.8135        -2.8134704            0.03591
  437.0000          0.0000        2.5989        -2.5988792            0.04509
  478.5000          0.0000        2.3302        -2.3302005            0.05448
  521.5000          0.0000        2.0163        -2.0162863            0.06168
  565.5000          0.0000        1.6838        -1.6837979            0.06361
  610.6000          0.0000        1.3560        -1.3559848            0.06136
  656.4000          0.0000        1.0512        -1.0512088            0.05609
  702.7000          0.0000        0.7751        -0.7750786            0.05030
  749.1000          0.0000        0.5475        -0.5475270            0.04137
  795.1000          0.0000        0.3917        -0.3916595            0.02859
  840.0000          0.0000        0.2973        -0.2972748            0.01774
  882.8000          0.0000        0.2448        -0.2448504            0.01031
  922.5000          0.0000        0.2111        -0.2110947            0.00718
  957.4000          0.0000        0.1870        -0.1869154            0.00583
  985.9000          0.0000        0.1690        -0.1690355            0.00530
 1005.4000          0.0000        0.1571        -0.1571059            0.00515
